"","workerId","hitId","condition","assignmentId","time","chain","generation","level","trialType","nameTraining","arrayTraining","seenInTraining","choiceArray0","choiceArray1","choiceArray2","choiceArray3","correctChoiceNumber","participantChoiceNumber","participantText","compositionalAnswer","seenInTesting","conditionCE","conditionHeadN"
"1","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194324,"none","blah","OBJ","training","valtal","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"2","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194336,"none","blah","OBJ","training","kolkul","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"3","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194349,"none","blah","OBJ","training","siso","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"4","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194365,"none","blah","OBJ","training","tontin","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"5","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194382,"none","blah","OBJ","testing","valtal","0","true","2","1","0","3",2,2,NA,NA,NA,"crossed","head initial"
"6","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194387,"none","blah","OBJ","testing","kolkul","1","true","0","2","3","1",3,3,NA,NA,NA,"crossed","head initial"
"7","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194393,"none","blah","OBJ","testing","siso","2","true","3","2","0","1",1,1,NA,NA,NA,"crossed","head initial"
"8","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194397,"none","blah","OBJ","testing","tontin","3","true","0","3","1","2",1,1,NA,NA,NA,"crossed","head initial"
"9","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194406,"none","blah","ADP","training",NA,"[[7,5],[7,4],[7,6]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"10","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194414,"none","blah","ADP","training",NA,"[[7,[5]],[7,[4]],[7,[6]]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"11","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194417,"none","blah","ADP","training",NA,"[[5,6],[5,4],[5,7]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"12","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194418,"none","blah","ADP","training",NA,"[[5,[6]],[5,[4]],[5,[7]]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"13","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194426,"none","blah","ADP","testing","sphere cube moy","[5,4]","false","[5,4]","[5,[6]]","[5,6]","[5,[4]]",0,0,NA,NA,NA,"crossed","head initial"
"14","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194433,"none","blah","ADP","testing","sphere cube rae","[5,[4]]","false","[5,[4]]","[7,[5]]","[7,5]","[5,4]",0,0,NA,NA,NA,"crossed","head initial"
"15","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194441,"none","blah","ADP","testing","pyramid cylinder moy","[7,6]","false","[7,6]","[7,[6]]","[6,5]","[6,[5]]",0,0,NA,NA,NA,"crossed","head initial"
"16","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194451,"none","blah","ADP","testing","pyramid cylinder rae","[7,[6]]","false","[6,4]","[7,6]","[6,[4]]","[7,[6]]",3,3,NA,NA,NA,"crossed","head initial"
"17","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194485,"none","blah","2","training","tontin tontin moy","[3,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"18","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194487,"none","blah","2","training","kolkul tontin moy","[1,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"19","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194493,"none","blah","2","training","valtal kolkul rae","[0,[1]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"20","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194493,"none","blah","2","training","tontin kolkul rae","[3,[1]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"21","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194493,"none","blah","2","training","siso kolkul rae","[2,[1]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"22","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194494,"none","blah","2","training","siso kolkul moy","[2,1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"23","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194496,"none","blah","2","training","valtal valtal moy","[0,0]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"24","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194508,"none","blah","2","training","tontin valtal rae","[3,[0]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed","head initial"
"25","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194519,"none","blah","2","testing","kolkul tontin moy","[1,3]","true","[0,2]","[1,3]","[2,[0]]","[3,[1]]",1,1,NA,NA,NA,"crossed","head initial"
"26","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194541,"none","blah","2","testing","tontin kolkul rae","[3,[1]]","true","[1,3]","[0,1]","[3,[1]]","[0,[1]]",2,2,NA,NA,NA,"crossed","head initial"
"27","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194545,"none","blah","2","testing","siso kolkul rae","[2,[1]]","true","[2,[1]]","[2,1]","[2,2]","[2,[2]]",0,0,NA,NA,NA,"crossed","head initial"
"28","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194553,"none","blah","2","testing","valtal kolkul rae","[0,[1]]","true","[0,[1]]","[1,[3]]","[1,0]","[3,1]",0,0,NA,NA,NA,"crossed","head initial"
"29","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194566,"none","blah","2","testing","siso kolkul moy","[2,1]","true","[1,[2]]","[1,3]","[1,[3]]","[2,1]",3,3,NA,NA,NA,"crossed","head initial"
"30","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194578,"none","blah","2","testing","tontin valtal rae","[3,[0]]","true","[3,0]","[3,2]","[3,[0]]","[2,[3]]",2,2,NA,NA,NA,"crossed","head initial"
"31","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194585,"none","blah","2","testing","valtal valtal moy","[0,0]","true","[3,[2]]","[0,0]","[0,[0]]","[2,3]",1,1,NA,NA,NA,"crossed","head initial"
"32","A1","382GHPVPHSYPCAW1XY6GWNM7Q1J43C","CrossInit","3IKZ72A5B5N81EKTP0RGKPDRI4TNFD",1593194593,"none","blah","2","testing","tontin tontin moy","[3,3]","true","[3,[3]]","[1,2]","[1,[2]]","[3,3]",3,3,NA,NA,NA,"crossed","head initial"
