"","workerId","hitId","condition","assignmentId","time","chain","generation","level","trialType","nameTraining","arrayTraining","seenInTraining","choiceArray0","choiceArray1","choiceArray2","choiceArray3","correctChoiceNumber","participantChoiceNumber","participantText","compositionalAnswer","seenInTesting"
"1","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341458,"I",1,"OBJ","training","soko","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341466,"I",1,"OBJ","training","vilval","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341472,"I",1,"OBJ","training","tulkul","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341477,"I",1,"OBJ","training","kinsin","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341488,"I",1,"OBJ","testing","soko","0","true","0","3","2","1",0,0,NA,NA,NA
"6","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341495,"I",1,"OBJ","testing","vilval","1","true","0","1","3","2",1,1,NA,NA,NA
"7","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341503,"I",1,"OBJ","testing","tulkul","2","true","0","3","2","1",2,2,NA,NA,NA
"8","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341509,"I",1,"OBJ","testing","kinsin","3","true","3","1","2","0",0,0,NA,NA,NA
"9","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341528,"I",1,"ADP","training","pyramidmoy","[5,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341548,"I",1,"ADP","training","pyramidrae","[7,6]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341553,"I",1,"ADP","training","spheremoy","[4,[5]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341559,"I",1,"ADP","training","sphererae","[6,[7]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341572,"I",1,"ADP","testing",NA,"[5,4]","false","[5,[4]]","[4,5]","[5,4]","[4,[5]]",2,2,NA,NA,NA
"14","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341582,"I",1,"ADP","testing",NA,"[7,6]","false","[6,7]","[7,6]","[7,[6]]","[6,[7]]",1,1,NA,NA,NA
"15","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341594,"I",1,"ADP","testing",NA,"[4,[5]]","false","[4,5]","[4,[5]]","[5,4]","[5,[4]]",1,1,NA,NA,NA
"16","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341603,"I",1,"ADP","testing",NA,"[6,[7]]","false","[7,[6]]","[6,7]","[6,[7]]","[7,6]",2,2,NA,NA,NA
"17","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341623,"I",1,"2","training","soko moy tulkul","[0,[2]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341632,"I",1,"2","training","soko moy vilval","[1,0]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341639,"I",1,"2","training","kinsin moy soko","[0,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","A1","31D0ZWOD0A68X7DLNCYO7SA0HMIA0X",NA,"3MMN5BL1W0B73KJ0T4BE61ZVJBLM3V",1597341642,"I",1,"2","training","kinsin rae vilval","[3,[1]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
