"","workerId","gen","chain","prepM","prepR","strings","arrayTraining","time","seen","level","encodingCorrected","consonants"
"1","A1",2,"I","right","atop","soko","0",1597341965,"true","1","s","svtk"
"2","A1",2,"I","right","atop","vilval","1",1597341968,"true","1","v","svtk"
"3","A1",2,"I","right","atop","tulkul","2",1597341972,"true","1","t","svtk"
"4","A1",2,"I","right","atop","kinsin","3",1597341976,"true","1","k","svtk"
"5","A1",2,"I","right","atop","soko rae tulkul","[0,[2]]",1597341983,"true","2","srt","svtk"
"6","A1",2,"I","right","atop","vilval moy soko","[1,0]",1597341989,"true","2","vms","svtk"
"7","A1",2,"I","right","atop","soko moy kinsin","[0,3]",1597341995,"true","2","smk","svtk"
"8","A1",2,"I","right","atop","kinsin rae vilval","[3,[1]]",1597342013,"true","2","krv","svtk"
"9","A1",2,"I","right","atop","tulkul moy kinsin","[2,3]",1597342028,"true","2","tmk","svtk"
"10","A1",2,"I","right","atop","kinsin moy tulkul","[3,2]",1597342069,"true","2","kmt","svtk"
"11","A1",2,"I","right","atop","tulkul rae soko","[2,[0]]",1597342077,"true","2","trs","svtk"
"12","A1",2,"I","right","atop","tulkul rae vilval","[2,[1]]",1597342085,"true","2","trv","svtk"
"13","A1",2,"I","right","atop","soko moy kinsin","[3,0]",1597342091,"false","2","smk","svtk"
"14","A1",2,"I","right","atop","vilval rae tulkul","[1,[2]]",1597342098,"false","2","vrt","svtk"
"15","A1",2,"I","right","atop","soko moy vilval","[0,1]",1597342104,"false","2","smv","svtk"
"16","A1",2,"I","right","atop","vilval rae kinsin","[1,[3]]",1597342118,"false","2","vrk","svtk"
"17","A1",2,"I","right","atop","kinsin kinsin rae tulkul rae","[[3,[3]],[2]]",1597342533,"true","3","kkrtr","svtk"
"18","A1",2,"I","right","atop","kinsin rae soko moy tulkul","[2,[3,[0]]]",1597342613,"true","3","krsmt","svtk"
"19","A1",2,"I","right","atop","soko moy tulkul rae soko","[0,[[2,0]]]",1597342637,"true","3","smtrs","svtk"
"20","A1",2,"I","right","atop","kinsin moy tulkul rae soko","[[3,2],[0]]",1597342654,"true","3","kmtrs","svtk"
"21","A1",2,"I","right","atop","tulkul rae tulkul rae vilval","[[1,[2]],[2]]",1597342666,"true","3","trtrv","svtk"
"22","A1",2,"I","right","atop","kinsin rae kinsin moy vilval","[1,[3,[3]]]",1597342678,"true","3","krkmv","svtk"
"23","A1",2,"I","right","atop","vilval rae tulkul moy tulkul","[[1,[2]],2]",1597342689,"true","3","vrtmt","svtk"
"24","A1",2,"I","right","atop","moy kinsin rae vilval soko","[[0,3],[1]]",1597342721,"true","3","mkrvs","svtk"
"25","A1",2,"I","right","atop","vilval moy vilval rae soko","[0,[[1,1]]]",1597342736,"false","3","vmvrs","svtk"
"26","A1",2,"I","right","atop","kinsin moy kinsin moy soko","[[3,3],0]",1597342746,"false","3","kmkms","svtk"
"27","A1",2,"I","right","atop","vilval rae vilval moy soko","[[1,[1]],0]",1597342755,"false","3","vrvms","svtk"
"28","A1",2,"I","right","atop","vilval moy tulkul moy soko","[[1,2],0]",1597342762,"false","3","vmtms","svtk"
"29","A1",2,"I","right","atop","kinsin moy tulkul moy tulkul rae kinsin","[3,[2,[2,[3]]]]",1597342788,"false","4","kmtmtrk","svtk"
"30","A1",2,"I","right","atop","tulkul moy tulkul moy vilval rae vilval","[1,[[2,[2,1]]]]",1597342804,"false","4","tmtmvrv","svtk"
"31","A1",2,"I","right","atop","moy vilval rae kinsin moy kinsin kinsin","[[[3,1],[3]],3]",1597342828,"false","4","mvrkmkk","svtk"
"32","A1",2,"I","right","atop","soko rae kinsin rae vilval moy vilval","[0,[[3,[[1,1]]]]]",1597342844,"false","4","srkrvmv","svtk"
"33","A1",2,"I","right","atop","soko moy vilval moy soko rae tulkul","[[[0,1],0],[2]]",1597342855,"false","4","smvmsrt","svtk"
"34","A1",2,"I","right","atop","tulkul moy soko moy vilval moy tulkul","[[[2,0],1],2]",1597342867,"false","4","tmsmvmt","svtk"
"35","A1",2,"I","right","atop","soko moy kinsin rae soko rae soko","[0,[3,[[0,[0]]]]]",1597342881,"false","4","smkrsrs","svtk"
"36","A1",2,"I","right","atop","tulkul rae rae tulkul rae kinsin tulkul","[[[2,[1]],[2]],[3]]",1597342905,"false","4","trrtrkt","svtk"
"37","A1",2,"I","right","atop","tulkul moy soko rae tulkul moy kinsin","[2,[0,[[2,3]]]]",1597342923,"false","4","tmsrtmk","svtk"
"38","A1",2,"I","right","atop","vilval rae vilval moy kinsin moy soko","[[[1,[1]],3],0]",1597342932,"false","4","vrvmkms","svtk"
"39","A1",2,"I","right","atop","vilval rae soko rae soko moy vilval","[[[1,[0]],[0]],1]",1597342943,"false","4","vrsrsmv","svtk"
"40","A1",2,"I","right","atop","kinsin moy kinsin rae soko rae tulkul","[[[3,3],[0]],[2]]",1597342956,"false","4","kmkrsrt","svtk"
"41","A10",2,"H","right","atop","sulsal","0",1597343678,"true","1","s","stkv"
"42","A10",2,"H","right","atop","tinkin","1",1597343688,"true","1","t","stkv"
"43","A10",2,"H","right","atop","kakan","2",1597343692,"true","1","k","stkv"
"44","A10",2,"H","right","atop","volsol","3",1597343696,"true","1","v","stkv"
"45","A10",2,"H","right","atop","sulsal rae tinkin","[0,[2]]",1597343713,"true","2","srt","stkv"
"46","A10",2,"H","right","atop","tinkin moy sulsal","[1,0]",1597343730,"true","2","tms","stkv"
"47","A10",2,"H","right","atop","sulsal moy volsol","[0,3]",1597343743,"true","2","smv","stkv"
"48","A10",2,"H","right","atop","tinkin rae volsol","[3,[1]]",1597343754,"true","2","trv","stkv"
"49","A10",2,"H","right","atop","tinkin moy volsol","[2,3]",1597343770,"true","2","tmv","stkv"
"50","A10",2,"H","right","atop","volsol moy tinkin","[3,2]",1597343779,"true","2","vmt","stkv"
