"","workerId","hitId","assignmentId","time","chain","generation","level","trialType","nameTraining","arrayTraining","seenInTraining","choiceArray0","choiceArray1","choiceArray2","choiceArray3","correctChoiceNumber","participantChoiceNumber","participantText","compositionalAnswer","seenInTesting"
"1","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492739,"C",7,"0","training","kaku","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492760,"C",7,"0","training","titil","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492776,"C",7,"0","training","silvil","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492808,"C",7,"0","training","vuntun","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492843,"C",7,"0","testing","kaku","0","true","0","2","1","3","0","0",NA,NA,NA
"6","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492851,"C",7,"0","testing","titil","1","true","0","1","2","3","1","1",NA,NA,NA
"7","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492861,"C",7,"0","testing","silvil","2","true","2","3","0","1","0","0",NA,NA,NA
"8","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492868,"C",7,"0","testing","vuntun","3","true","0","3","1","2","1","1",NA,NA,NA
"9","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492876,"C",7,"1","training","titil moy vuntun","[1,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492887,"C",7,"1","training","titil rae titil","[1,[1]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492898,"C",7,"1","training","silvil moy vuntun","[2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492909,"C",7,"1","training","kaku moy silvil","[0,2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492917,"C",7,"1","training","titil moy silvil","[1,2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492926,"C",7,"1","training","titil rae vuntun","[1,[3]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492937,"C",7,"1","training","silvil rae kaku","[2,[0]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492953,"C",7,"1","training","vuntun rae silvil","[3,[2]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492977,"C",7,"1","testing","titil moy vuntun","[1,3]","true","[0,[3]]","[1,3]","[0,3]","[1,[3]]","1","1",NA,NA,NA
"18","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492989,"C",7,"1","testing","titil rae titil","[1,[1]]","true","[1,3]","[1,1]","[3,[1]]","[1,[1]]","3","3",NA,NA,NA
"19","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588492999,"C",7,"1","testing","silvil moy vuntun","[2,3]","true","[2,[1]]","[2,1]","[3,[2]]","[2,3]","3","3",NA,NA,NA
"20","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588493007,"C",7,"1","testing","kaku moy silvil","[0,2]","true","[3,0]","[3,[0]]","[0,2]","[2,[0]]","2","2",NA,NA,NA
"21","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588493016,"C",7,"1","testing","titil moy silvil","[1,2]","true","[1,2]","[1,[3]]","[1,[2]]","[1,3]","0","0",NA,NA,NA
"22","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588493026,"C",7,"1","testing","titil rae vuntun","[1,[3]]","true","[3,[2]]","[1,[3]]","[3,2]","[3,1]","1","1",NA,NA,NA
"23","A1","3JU8CV4BRLJ0NSB6EGIWNOVD9NHOPJ","3C2NJ6JBKBOO0K8H15C906J20492NS",1588493038,"C",7,"1","testing","silvil rae kaku","[2,[0]]","true","[1,0]","[2,[0]]","[2,0]","[0,[1]]","1","1",NA,NA,NA
