,Unnamed: 0,workerId,chain,generation,level,arrayTraining,encodingCorrected,nounsUser,prepsUser,seenInTraining,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
78,79,A1,C,7,3,"[[[1,3],1],1]",trvmtmt,ktsv,mr,False,tmvmtmt,trvmtrt,tmvmtmt,trvmtrt,tmtmvmt,trtmvrt,tmtmvmt,trtmvrt,tmtmvmt,trtmvrt,tmtmvmt,trtmvrt,tmvmtmt,trvmtrt,tmvmtmt,trvmtrt,tvttmmm,tvttrmr,tvttmmm,tvttrmr,ttvtmmm,ttvtrmr,ttvtmmm,ttvtrmr,mmmttvt,rmrttvt,mmmttvt,rmrttvt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,mmmttvt,rmrttvt,mmmttvt,rmrttvt,tvttmmm,tvttrmr,tvttmmm,tvttrmr,ttvtmmm,ttvtrmr,ttvtmmm,ttvtrmr,mmmttvt,rmrttvt,mmmttvt,rmrttvt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,ttvtmmm,ttvtrmr,ttvtmmm,ttvtrmr,tvttmmm,tvttrmr,tvttmmm,tvttrmr
56,57,A1,C,7,2,"[[1,[2]],0]",tmsmk,ktsv,mr,True,trsmk,trsrk,srtmk,srtrk,kmtrs,krtrs,kmsrt,krsrt,kmsrt,krsrt,kmtrs,krtrs,srtmk,srtrk,trsmk,trsrk,tskmr,tskrr,stkmr,stkrr,ktsrm,ktsrr,kstrm,kstrr,rmkst,rrkst,rmkts,rrkts,mrstk,rrstk,mrtsk,rrtsk,rmtsk,rrtsk,rmstk,rrstk,mrkts,rrkts,mrkst,rrkst,tskrm,tskrr,stkrm,stkrr,ktsmr,ktsrr,kstmr,kstrr,mrkst,rrkst,mrkts,rrkts,rmstk,rrstk,rmtsk,rrtsk,kstmr,kstrr,ktsmr,ktsrr,stkrm,stkrr,tskrm,tskrr
55,56,A1,C,7,1,"[2,2]",sms,ktsv,mr,False,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr
54,55,A1,C,7,1,"[2,[2]]",srs,ktsv,mr,False,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm,rss,mss,rss,mss,rss,mss,rss,mss,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm
53,54,A1,C,7,1,"[0,1]",kmt,ktsv,mr,False,kmt,krt,kmt,krt,tmk,trk,tmk,trk,tmk,trk,tmk,trk,kmt,krt,kmt,krt,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,mkt,rkt,mkt,rkt,mtk,rtk,mtk,rtk,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,tkm,tkr,tkm,tkr,ktm,ktr,ktm,ktr
52,53,A1,C,7,1,"[2,0]",smk,ktsv,mr,False,smk,srk,smk,srk,kms,krs,kms,krs,kms,krs,kms,krs,smk,srk,smk,srk,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,msk,rsk,msk,rsk,mks,rks,mks,rks,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,ksm,ksr,ksm,ksr,skm,skr,skm,skr
51,52,A1,C,7,1,"[3,[2]]",vrs,ktsv,mr,True,vrs,vms,srv,smv,vrs,vms,srv,smv,srv,smv,vrs,vms,srv,smv,vrs,vms,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,rvs,mvs,rsv,msv,rvs,mvs,rsv,msv,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,svr,svm,vsr,vsm,svr,svm,vsr,vsm
50,51,A1,C,7,1,"[2,[0]]",srk,ktsv,mr,True,srk,smk,krs,kms,srk,smk,krs,kms,krs,kms,srk,smk,krs,kms,srk,smk,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,rsk,msk,rks,mks,rsk,msk,rks,mks,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,ksr,ksm,skr,skm,ksr,ksm,skr,skm
57,58,A1,C,7,2,"[[3,[2]],1]",vrsmt,ktsv,mr,True,vrsmt,vrsrt,srvmt,srvrt,tmvrs,trvrs,tmsrv,trsrv,tmsrv,trsrv,tmvrs,trvrs,srvmt,srvrt,vrsmt,vrsrt,vstmr,vstrr,svtmr,svtrr,tvsrm,tvsrr,tsvrm,tsvrr,rmtsv,rrtsv,rmtvs,rrtvs,mrsvt,rrsvt,mrvst,rrvst,rmvst,rrvst,rmsvt,rrsvt,mrtvs,rrtvs,mrtsv,rrtsv,vstrm,vstrr,svtrm,svtrr,tvsmr,tvsrr,tsvmr,tsvrr,mrtsv,rrtsv,mrtvs,rrtvs,rmsvt,rrsvt,rmvst,rrvst,tsvmr,tsvrr,tvsmr,tvsrr,svtrm,svtrr,vstrm,vstrr
49,50,A1,C,7,1,"[1,[3]]",trv,ktsv,mr,True,trv,tmv,vrt,vmt,trv,tmv,vrt,vmt,vrt,vmt,trv,tmv,vrt,vmt,trv,tmv,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,rtv,mtv,rvt,mvt,rtv,mtv,rvt,mvt,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,vtr,vtm,tvr,tvm,vtr,vtm,tvr,tvm
