"","workerId","chain","generation","level","arrayTraining","encodingCorrected","nounsUser","prepsUser","seenInTraining"
"110","A_0","A",0,0,"0","k","ktvs","mr","true"
"241","A_0","A",0,0,"1","t","ktvs","mr","true"
"321","A_0","A",0,0,"2","v","ktvs","mr","true"
"410","A_0","A",0,0,"3","s","ktvs","mr","true"
"510","A_0","A",0,1,"[1,3]","mst","ktvs","mr","true"
"610","A_0","A",0,1,"[1,[1]]","rtt","ktvs","mr","true"
"710","A_0","A",0,1,"[2,3]","vms","ktvs","mr","true"
"81","A_0","A",0,1,"[0,2]","vkm","ktvs","mr","true"
"91","A_0","A",0,1,"[1,2]","vmt","ktvs","mr","true"
"101","A_0","A",0,1,"[1,[3]]","str","ktvs","mr","true"
"111","A_0","A",0,1,"[2,[0]]","krv","ktvs","mr","true"
"1210","A_0","A",0,1,"[3,[2]]","vrs","ktvs","mr","true"
"1310","A_0","A",0,1,"[2,0]","mkv","ktvs","mr","false"
"1440","A_0","A",0,1,"[0,1]","tkm","ktvs","mr","false"
"1520","A_0","A",0,1,"[2,[2]]","vvr","ktvs","mr","false"
"161","A_0","A",0,1,"[2,2]","vmv","ktvs","mr","false"
"171","A_0","A",0,2,"[[1,[2]],0]","ktrvm","ktvs","mr","true"
"181","A_0","A",0,2,"[[3,[2]],1]","rmtsv","ktvs","mr","true"
"191","A_0","A",0,2,"[0,[[1,[3]]]]","rrkts","ktvs","mr","true"
"2010","A_0","A",0,2,"[[1,3],2]","msmtv","ktvs","mr","true"
"2110","A_0","A",0,2,"[1,[[0,[2]]]]","rrvtk","ktvs","mr","true"
"2239","A_0","A",0,2,"[1,[3,[0]]]","msrkt","ktvs","mr","true"
"2319","A_0","A",0,2,"[[0,[0]],1]","mktrk","ktvs","mr","true"
"242","A_0","A",0,2,"[[1,1],[3]]","rttms","ktvs","mr","true"
"251","A_0","A",0,2,"[1,[2,[2]]]","trmvv","ktvs","mr","false"
"261","A_0","A",0,2,"[3,[[0,[0]]]]","kkrsr","ktvs","mr","false"
"271","A_0","A",0,2,"[[3,[3]],[2]]","srvrs","ktvs","mr","false"
"2810","A_0","A",0,2,"[1,[3,3]]","mmsst","ktvs","mr","false"
"2910","A_0","A",0,3,"[0,[[[2,[1]],0]]]","rkrmvtk","ktvs","mr","false"
"3039","A_0","A",0,3,"[2,[[2,[1,[3]]]]]","mrrtvsv","ktvs","mr","false"
"3119","A_0","A",0,3,"[0,[[0,1],[1]]]","mtmktrk","ktvs","mr","false"
"322","A_0","A",0,3,"[3,[0,[[1,1]]]]","tmsmrkt","ktvs","mr","false"
"331","A_0","A",0,3,"[0,[[3,[2]],[2]]]","rvrvsmk","ktvs","mr","false"
"341","A_0","A",0,3,"[[0,[1,2]],[3]]","mmktrvs","ktvs","mr","false"
"351","A_0","A",0,3,"[[[2,[1]],[3]],[2]]","rvvsrtr","ktvs","mr","false"
"361","A_0","A",0,3,"[3,[[3,[0,[3]]]]]","srssmkr","ktvs","mr","false"
"371","A_0","A",0,3,"[[0,[2,[0]]],[1]]","ktkrrmv","ktvs","mr","false"
"381","A_0","A",0,3,"[1,[[[0,1],[3]]]]","srrktmt","ktvs","mr","false"
"391","A_0","A",0,3,"[[[1,3],1],1]","smmttmt","ktvs","mr","false"
"401","A_0","A",0,3,"[[[1,1],2],1]","tmtmtvm","ktvs","mr","false"
"41","A1","C",7,0,"0","k","ktsv","mr","true"
"42","A1","C",7,0,"1","t","ktsv","mr","true"
"43","A1","C",7,0,"2","s","ktsv","mr","true"
"44","A1","C",7,0,"3","v","ktsv","mr","true"
"45","A1","C",7,1,"[1,3]","tmv","ktsv","mr","true"
"46","A1","C",7,1,"[1,[1]]","trt","ktsv","mr","true"
"47","A1","C",7,1,"[2,3]","smv","ktsv","mr","true"
"48","A1","C",7,1,"[0,2]","kms","ktsv","mr","true"
"49","A1","C",7,1,"[1,2]","tms","ktsv","mr","true"
"50","A1","C",7,1,"[1,[3]]","trv","ktsv","mr","true"
"51","A1","C",7,1,"[2,[0]]","srk","ktsv","mr","true"
"52","A1","C",7,1,"[3,[2]]","vrs","ktsv","mr","true"
"53","A1","C",7,1,"[2,0]","smk","ktsv","mr","false"
"54","A1","C",7,1,"[0,1]","kmt","ktsv","mr","false"
"55","A1","C",7,1,"[2,[2]]","srs","ktsv","mr","false"
"56","A1","C",7,1,"[2,2]","sms","ktsv","mr","false"
"57","A1","C",7,2,"[[1,[2]],0]","tmsmk","ktsv","mr","true"
"58","A1","C",7,2,"[[3,[2]],1]","vrsmt","ktsv","mr","true"
"59","A1","C",7,2,"[0,[[1,[3]]]]","krtrv","ktsv","mr","true"
"60","A1","C",7,2,"[[1,3],2]","tmvms","ktsv","mr","true"
"61","A1","C",7,2,"[1,[[0,[2]]]]","trkrs","ktsv","mr","true"
"62","A1","C",7,2,"[1,[3,[0]]]","tmvrk","ktsv","mr","true"
"63","A1","C",7,2,"[[0,[0]],1]","krkmt","ktsv","mr","true"
"64","A1","C",7,2,"[[1,1],[3]]","tmtrv","ktsv","mr","true"
"65","A1","C",7,2,"[1,[2,[2]]]","tmsrs","ktsv","mr","false"
"66","A1","C",7,2,"[3,[[0,[0]]]]","vrkrk","ktsv","mr","false"
"67","A1","C",7,2,"[[3,[3]],[2]]","vrvrs","ktsv","mr","false"
"68","A1","C",7,2,"[1,[3,3]]","tmvmv","ktsv","mr","false"
"69","A1","C",7,3,"[0,[[[2,[1]],0]]]","srtmkrk","ktsv","mr","false"
"70","A1","C",7,3,"[2,[[2,[1,[3]]]]]","srsmtrv","ktsv","mr","false"
