"","workerId","times","timesTrials","timesTrialsMax","generation","chain","PH","PV","writing","langNative","langOther","comments"
"1","A1",1112,0,-Inf,7,"C","horiz","atop","no","English",NA,NA
"2","A2",1655,0,-Inf,2,"B","horiz","atop","no","English","French",NA
"3","A3",865,0,-Inf,5,"I","none","none","no","english",NA,NA
"4","A4",953,0,-Inf,8,"I","vert","horiz","no","englsih",NA,"Crashed halfway through so I restarted and the hit was interesting enough and worth doing so! I think I did pretty bad but it was interesting so thank you!"
"5","A5",1734,0,-Inf,10,"F","horiz","none","no","English",NA,"This was really hard; after the second series of learning I was lost; however; this was a really fun and learning survey! Thank you for letting me participate"
"6","A6",770,0,-Inf,4,"I","none","none","no","english",NA,NA
"7","A7",775,0,-Inf,9,"D","horiz","none","no","English",NA,NA
"8","A8",NA,0,-Inf,8,"A","horiz","vert","no","english",NA,NA
"9","A9",802,0,-Inf,10,"G","under","left","no","English","Portuguese - not fluent",NA
"10","A10",814,0,-Inf,7,"E","vert","vert","no","english","na",NA
"11","A11",881,0,-Inf,6,"F","none","none","no","English","Spanish (high level)","For the third task I made associations between the images and the words to remember which image matched which phrase This worked too a high level and I was able to get each of those correct; but that method did not translate to the final naming task"
"12","A12",1615,0,-Inf,5,"J","none","none","no","English",NA,NA
"13","A13",1227,0,-Inf,1,"C","horiz","vert","no","english",NA,"It was hard and I didn't do well; but it was interesting Thank you!"
"14","A14",758,0,-Inf,7,"A","none","atop","no","English",NA,"Interesting task"
"15","A15",641,0,-Inf,4,"D","atop","none","no","English","5 years of French","none; thanks"
"16","A16",911,0,-Inf,9,"H","atop","horiz","no","English","None",NA
"17","A17",1207,0,-Inf,8,"J","Object","atop","no","English",NA,NA
"18","A18",1606,0,-Inf,5,"D","green thing","the red thing","no","English",NA,NA
"19","A19",614,0,-Inf,10,"I","horiz","none","no","English","None",NA
"20","A20",602,0,-Inf,3,"E","name of a piece","horiz","no","English","German-almost fluent","Wow this was really hard and confusing but I had fun!!!"
"21","A21",941,0,-Inf,9,"J","none","vert","no","English",NA,NA
"22","A22",735,0,-Inf,4,"C","horiz","vert","no","English","None","I felt pretty helpless understanding some of these combinations; but I did try my best to decipher them The biggest source of confusion what understanding the order they're presented in and the fact that the meanings of moyrae seemed to change beyond the parameters I answered above on some occasions Some combinations also included shapes that weren't actually present; which was confusing as well!"
"23","A23",734,0,-Inf,9,"B","atop","horiz","no","English","Spanish (can read fluently); French (readspeakwrite fluently)","This was a really fun experiment I've been trying to get this HIT for a few days now; and I'm really glad I finally landed it I know I didn't totally nail it (I never quite understood what the rules were that would cause an object's name to appear in a phrase for a group of objects that didn't include that object) but this was a blast! Best of luck with your research"
"24","A24",921,0,-Inf,9,"C","right","atop","no","English",NA,NA
"25","A25",436,0,-Inf,5,"E","left","under","no","eNGLISH",NA,NA
"26","A26",NA,0,-Inf,2,"J","horiz","atop","no","English",NA,NA
"27","A27",1154,0,-Inf,4,"G","horiz","the green thing that has legs","no","English",NA,"Very creative! enjoyed this!"
"28","A28",1056,0,-Inf,7,"D","atop","red","no","English","Swahili; French; Portuguese","fascinating Didn't take notes But at times i obviously didn't have enough words filled out; because the word boxes wouldn't let me progress so I had to select more at the end"
"29","A29",810,0,-Inf,6,"D","atop","i was translating it to the red object","no","English",NA,"I think I got some of the wordsobjects mixed up but I think I got the general idea of the language"
