"","workerId","hitId","assignmentId","time","condition","chain","generation","level","trialType","nameTraining","arrayTraining","seenInTraining","inAmbig","choiceArray0","choiceArray1","choiceArray2","choiceArray3","correctChoiceNumber","participantChoiceNumber","participantText","compositionalAnswer","seenInTesting","conditionCE","conditionHeadN"
"1","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504674,"PostNomPrePos","none","blah","0","training","sisu","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"2","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504694,"PostNomPrePos","none","blah","0","training","vinvi","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"3","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504710,"PostNomPrePos","none","blah","0","training","konkan","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"4","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504725,"PostNomPrePos","none","blah","0","training","tulsul","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"5","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504775,"PostNomPrePos","none","blah","0","testing","sisu","0","true","false","1","2","3","0",3,3,NA,NA,NA,"no center-embedding","head initial"
"6","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504786,"PostNomPrePos","none","blah","0","testing","vinvi","1","true","false","2","0","1","3",2,2,NA,NA,NA,"no center-embedding","head initial"
"7","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504795,"PostNomPrePos","none","blah","0","testing","konkan","2","true","false","2","1","3","0",0,0,NA,NA,NA,"no center-embedding","head initial"
"8","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504807,"PostNomPrePos","none","blah","0","testing","tulsul","3","true","false","1","2","3","0",2,2,NA,NA,NA,"no center-embedding","head initial"
"9","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504817,"PostNomPrePos","none","blah","1","training","vinvi rae tulsul","[1,[3]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"10","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504831,"PostNomPrePos","none","blah","1","training","konkan moy sisu","[2,0]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"11","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504837,"PostNomPrePos","none","blah","1","training","vinvi moy tulsul","[1,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"12","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504841,"PostNomPrePos","none","blah","1","training","vinvi rae sisu","[1,[0]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"13","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504847,"PostNomPrePos","none","blah","1","training","sisu moy vinvi","[0,1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"14","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504847,"PostNomPrePos","none","blah","1","training","sisu rae tulsul","[0,[3]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"15","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504851,"PostNomPrePos","none","blah","1","training","tulsul moy sisu","[3,0]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"16","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504856,"PostNomPrePos","none","blah","1","training","tulsul rae konkan","[3,[2]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no center-embedding","head initial"
"17","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504894,"PostNomPrePos","none","blah","1","testing","vinvi moy tulsul","[1,3]","true","false","[3,[1]]","[1,2]","[1,3]","[2,[1]]",2,2,NA,NA,NA,"no center-embedding","head initial"
"18","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504903,"PostNomPrePos","none","blah","1","testing","sisu moy vinvi","[0,1]","true","false","[2,3]","[0,1]","[0,[1]]","[2,[3]]",1,1,NA,NA,NA,"no center-embedding","head initial"
"19","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504919,"PostNomPrePos","none","blah","1","testing","tulsul rae konkan","[3,[2]]","true","false","[1,1]","[3,[2]]","[1,[1]]","[3,2]",1,1,NA,NA,NA,"no center-embedding","head initial"
"20","A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581504947,"PostNomPrePos","none","blah","1","testing","vinvi rae tulsul","[1,[3]]","true","false","[0,[0]]","[0,0]","[1,[3]]","[1,3]",2,2,NA,NA,NA,"no center-embedding","head initial"
