"","X","workerId","hitId","assignmentId","time","condition","chain","generation","level","trialType","nameTraining","arrayTraining","seenInTraining","inAmbig","choiceArray0","choiceArray1","choiceArray2","choiceArray3","correctChoiceNumber","participantChoiceNumber","participantText","compositionalAnswer","seenInTesting","conditionCE","conditionHeadN","correctLexicon","correctedAnswers","encodingCompositional","encodingCorrected","normedCorrectness","prepHorizGloss","prepVertGloss","consonants"
"41",41,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505369,"PostNomPrePos","none","blah",0,"write",NA,"0","true","false",NA,NA,NA,NA,NA,NA,"sisu","sisu","true","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu","s","s",1,"X","X","svkt"
"42",42,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505382,"PostNomPrePos","none","blah",0,"write",NA,"1","true","false",NA,NA,NA,NA,NA,NA,"vinvi","vinvi","true","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi","v","v",1,"X","X","svkt"
"43",43,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505397,"PostNomPrePos","none","blah",0,"write",NA,"2","true","false",NA,NA,NA,NA,NA,NA,"konka","konkan","true","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan","k","k",1,"X","X","svkt"
"44",44,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505421,"PostNomPrePos","none","blah",0,"write",NA,"3","true","false",NA,NA,NA,NA,NA,NA,"tulsul","tulsul","true","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul","t","t",1,"X","X","svkt"
"45",45,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505446,"PostNomPrePos","none","blah",1,"write",NA,"[1,[0]]","true","false",NA,NA,NA,NA,NA,NA,"vinvi rae sisu","vinvi rae sisu","true","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi rae sisu","vrs","vrs",1,"X","X","svkt"
"46",46,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505471,"PostNomPrePos","none","blah",1,"write",NA,"[1,[3]]","true","false",NA,NA,NA,NA,NA,NA,"vinvi rae tulsul","vinvi rae tulsul","true","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi rae tulsul","vrt","vrt",1,"X","X","svkt"
"47",47,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505569,"PostNomPrePos","none","blah",1,"write",NA,"[2,[2]]","false","false",NA,NA,NA,NA,NA,NA,"konkan rae konkan","konkan rae konkan","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan rae konkan","krk","krk",1,"X","X","svkt"
"48",48,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505619,"PostNomPrePos","none","blah",1,"write",NA,"[2,[3]]","false","false",NA,NA,NA,NA,NA,NA,"konkan rae tulsul","konkan rae tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan rae tulsul","krt","krt",1,"X","X","svkt"
"49",49,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505638,"PostNomPrePos","none","blah",1,"write",NA,"[3,0]","true","false",NA,NA,NA,NA,NA,NA,"tulsul moy sisu","tulsul moy sisu","true","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul moy sisu","tms","tms",1,"X","X","svkt"
"50",50,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505662,"PostNomPrePos","none","blah",1,"write",NA,"[0,1]","true","false",NA,NA,NA,NA,NA,NA,"sisu moy vinvi","sisu moy vinvi","true","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu moy vinvi","smv","smv",1,"X","X","svkt"
"51",51,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505682,"PostNomPrePos","none","blah",1,"write",NA,"[2,0]","true","false",NA,NA,NA,NA,NA,NA,"konkan moy sisu","konkan moy sisu","true","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan moy sisu","kms","kms",1,"X","X","svkt"
"52",52,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505705,"PostNomPrePos","none","blah",1,"write",NA,"[2,1]","false","false",NA,NA,NA,NA,NA,NA,"konkan moy vinvi","konkan moy vinvi","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan moy vinvi","kmv","kmv",1,"X","X","svkt"
"53",53,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505724,"PostNomPrePos","none","blah",1,"write",NA,"[0,[3]]","true","false",NA,NA,NA,NA,NA,NA,"sisu rae tulsul","sisu rae tulsul","true","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu rae tulsul","srt","srt",1,"X","X","svkt"
"54",54,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505739,"PostNomPrePos","none","blah",1,"write",NA,"[1,3]","true","false",NA,NA,NA,NA,NA,NA,"vinvi moy tulsul","vinvi moy tulsul","true","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi moy tulsul","vmt","vmt",1,"X","X","svkt"
"55",55,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505765,"PostNomPrePos","none","blah",1,"write",NA,"[3,[2]]","true","false",NA,NA,NA,NA,NA,NA,"tulsul rae konkan","tulsul rae konkan","true","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul rae konkan","trk","trk",1,"X","X","svkt"
"56",56,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505791,"PostNomPrePos","none","blah",1,"write",NA,"[3,2]","false","false",NA,NA,NA,NA,NA,NA,"tulsul moy konkan","tulsul moy konkan","false","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul moy konkan","tmk","tmk",1,"X","X","svkt"
"57",57,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505829,"PostNomPrePos","none","blah",2,"write",NA,"[[3,[1]],1]","true","false",NA,NA,NA,NA,NA,NA,"tulsul rae vinvi moy vinvi","tulsul rae vinvi moy vinvi","true","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul rae vinvi moy vinvi","trvmv","trvmv",1,"X","X","svkt"
"58",58,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505860,"PostNomPrePos","none","blah",2,"write",NA,"[[0,[2]],3]","false","true",NA,NA,NA,NA,NA,NA,"sisu rae konkan moy tulsul","sisu rae konkan moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu rae konkan moy tulsul","srkmt","srkmt",1,"X","X","svkt"
"59",59,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505887,"PostNomPrePos","none","blah",2,"write",NA,"[[1,2],3]","true","false",NA,NA,NA,NA,NA,NA,"vinvi moy konkan moy tulsul","vinvi moy konkan moy tulsul","true","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi moy konkan moy tulsul","vmkmt","vmkmt",1,"X","X","svkt"
"60",60,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505910,"PostNomPrePos","none","blah",2,"write",NA,"[3,[1,3]]","false","false",NA,NA,NA,NA,NA,NA,"tulsul moy vinvi moy tulsul","tulsul moy vinvi moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul moy vinvi moy tulsul","tmvmt","tmvmt",1,"X","X","svkt"
"61",61,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505955,"PostNomPrePos","none","blah",2,"write",NA,"[[2,1],2]","false","false",NA,NA,NA,NA,NA,NA,"konkan moy vinvi moy konka","konkan moy vinvi moy konkan","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan moy vinvi moy konkan","kmvmk","kmvmk",1,"X","X","svkt"
"62",62,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581505972,"PostNomPrePos","none","blah",2,"write",NA,"[0,[3,3]]","true","false",NA,NA,NA,NA,NA,NA,"sisu moy tulsul moy tulsul","sisu moy tulsul moy tulsul","true","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu moy tulsul moy tulsul","smtmt","smtmt",1,"X","X","svkt"
"63",63,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506007,"PostNomPrePos","none","blah",2,"write",NA,"[1,[3,[1]]]","true","false",NA,NA,NA,NA,NA,NA,"vinvi moy tulsul rae vinvi","vinvi moy tulsul rae vinvi","true","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi moy tulsul rae vinvi","vmtrv","vmtrv",1,"X","X","svkt"
"64",64,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506036,"PostNomPrePos","none","blah",2,"write",NA,"[[3,3],[1]]","true","false",NA,NA,NA,NA,NA,NA,"tulsul moy tulsul rae vinvi","tulsul moy tulsul rae vinvi","true","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul moy tulsul rae vinvi","tmtrv","tmtrv",1,"X","X","svkt"
"65",65,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506059,"PostNomPrePos","none","blah",2,"write",NA,"[0,[[0,0]]]","true","false",NA,NA,NA,NA,NA,NA,"sisu rae sisu moy sisu","sisu rae sisu moy sisu","true","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu rae sisu moy sisu","srsms","srsms",1,"X","X","svkt"
"66",66,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506079,"PostNomPrePos","none","blah",2,"write",NA,"[3,[[2,[2]]]]","true","false",NA,NA,NA,NA,NA,NA,"tulsul rae konkan rae konkan","tulsul rae konkan rae konkan","true","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul rae konkan rae konkan","trkrk","trkrk",1,"X","X","svkt"
"67",67,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506099,"PostNomPrePos","none","blah",2,"write",NA,"[1,[[1,1]]]","true","false",NA,NA,NA,NA,NA,NA,"vinvi rae vinvi moy vinvi","vinvi rae vinvi moy vinvi","true","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi rae vinvi moy vinvi","vrvmv","vrvmv",1,"X","X","svkt"
"68",68,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506126,"PostNomPrePos","none","blah",2,"write",NA,"[0,[[2,3]]]","false","true",NA,NA,NA,NA,NA,NA,"sisu rae konkan moy tulsul","sisu rae konkan moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu rae konkan moy tulsul","srkmt","srkmt",1,"X","X","svkt"
"69",69,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506157,"PostNomPrePos","none","blah",3,"write",NA,"[2,[[0,2],3]]","false","false",NA,NA,NA,NA,NA,NA,"konkan moy sisu moy konkan moy tulsul","konkan moy sisu moy konkan moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan moy sisu moy konkan moy tulsul","kmsmkmt","kmsmkmt",1,"X","X","svkt"
"70",70,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506226,"PostNomPrePos","none","blah",3,"write",NA,"[2,[[[2,[2]],0]]]","false","false",NA,NA,NA,NA,NA,NA,"konkan moy konkan rae konkan rae sisu","konkan rae konkan rae konkan moy sisu","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan moy konkan rae konkan rae sisu","krkrkms","kmkrkrs",0.714285714285714,"X","X","svkt"
"71",71,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506260,"PostNomPrePos","none","blah",3,"write",NA,"[[[3,0],0],1]","false","false",NA,NA,NA,NA,NA,NA,"tulsul moy sisu moy sisu moy vinvi","tulsul moy sisu moy sisu moy vinvi","false","branching","head initial","sisu vinvi konkan tulsul rae moy","tulsul moy sisu moy sisu moy vinvi","tmsmsmv","tmsmsmv",1,"X","X","svkt"
"72",72,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506290,"PostNomPrePos","none","blah",3,"write",NA,"[[0,[1,[2]]],3]","false","false",NA,NA,NA,NA,NA,NA,"sisu moy vinvi rae konkan moy tulsul","sisu moy vinvi rae konkan moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu moy vinvi rae konkan moy tulsul","smvrkmt","smvrkmt",1,"X","X","svkt"
"73",73,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506330,"PostNomPrePos","none","blah",3,"write",NA,"[0,[1,[[2,3]]]]","false","false",NA,NA,NA,NA,NA,NA,"sisu moy vinvi rae konkan rae tulsu;","sisu moy vinvi rae konkan moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu moy vinvi rae konkan rae tulsul","smvrkmt","smvrkrt",0.857142857142857,"X","X","svkt"
"74",74,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506356,"PostNomPrePos","none","blah",3,"write",NA,"[1,[0,[[1,[0]]]]]","false","false",NA,NA,NA,NA,NA,NA,"vinvi moy sisu rae vinvi rae sisy","vinvi moy sisu rae vinvi rae sisu","false","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi moy sisu rae vinvi rae sisu","vmsrvrs","vmsrvrs",1,"X","X","svkt"
"75",75,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506393,"PostNomPrePos","none","blah",3,"write",NA,"[2,[[1,[[1,[3]]]]]]","false","false",NA,NA,NA,NA,NA,NA,"konkan rae vinvi rae vinvi rae tulsul","konkan rae vinvi rae vinvi rae tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan rae vinvi rae vinvi rae tulsul","krvrvrt","krvrvrt",1,"X","X","svkt"
"76",76,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506426,"PostNomPrePos","none","blah",3,"write",NA,"[2,[[0,[2,[1]]]]]","false","false",NA,NA,NA,NA,NA,NA,"konkan rae sisu moy konkan rae vinvi","konkan rae sisu moy konkan rae vinvi","false","branching","head initial","sisu vinvi konkan tulsul rae moy","konkan rae sisu moy konkan rae vinvi","krsmkrv","krsmkrv",1,"X","X","svkt"
"77",77,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506452,"PostNomPrePos","none","blah",3,"write",NA,"[[1,[[0,[3]]]],0]","false","false",NA,NA,NA,NA,NA,NA,"vinvi rae sisu rae tulsul moi sisu","vinvi rae sisu rae tulsul moy sisu","false","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi rae sisu rae tulsul moy sisu","vrsrtms","vrsrtms",1,"X","X","svkt"
"78",78,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506474,"PostNomPrePos","none","blah",3,"write",NA,"[[[0,1],[2]],3]","false","false",NA,NA,NA,NA,NA,NA,"sisu moy vinvi rae konkan moy tulsul","sisu moy vinvi rae konkan moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu moy vinvi rae konkan moy tulsul","smvrkmt","smvrkmt",1,"X","X","svkt"
"79",79,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506495,"PostNomPrePos","none","blah",3,"write",NA,"[[[0,[1]],[3]],1]","false","false",NA,NA,NA,NA,NA,NA,"sisu rae vinvi rae tulsul moy vinvi","sisu rae vinvi rae tulsul moy vinvi","false","branching","head initial","sisu vinvi konkan tulsul rae moy","sisu rae vinvi rae tulsul moy vinvi","srvrtmv","srvrtmv",1,"X","X","svkt"
"80",80,"A1","3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N","3U0SRXB7CEC544P2GVRA1ERA0H6NR3",1581506531,"PostNomPrePos","none","blah",3,"write",NA,"[1,[[1,[[2,3]]]]]","false","false",NA,NA,NA,NA,NA,NA,"vinvi rae vinvi rae konkan moy tulsul","vinvi rae vinvi rae konkan moy tulsul","false","branching","head initial","sisu vinvi konkan tulsul rae moy","vinvi rae vinvi rae konkan moy tulsul","vrvrkmt","vrvrkmt",1,"X","X","svkt"
"121",121,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581342998,"CEPost","none","blah",0,"write",NA,"0","true","false",NA,NA,NA,NA,NA,NA,"kulka","kuka","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","kuka","k","k",1,"N","A","ktvs"
"122",122,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343002,"CEPost","none","blah",0,"write",NA,"1","true","false",NA,NA,NA,NA,NA,NA,"toili","tultol","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil","t","s",0,"N","A","ktvs"
"123",123,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343004,"CEPost","none","blah",0,"write",NA,"2","true","false",NA,NA,NA,NA,NA,NA,"velka","vinkin","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","kuka","v","k",0,"N","A","ktvs"
"124",124,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343007,"CEPost","none","blah",0,"write",NA,"3","true","false",NA,NA,NA,NA,NA,NA,"soili","solsil","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil","s","s",1,"N","A","ktvs"
"125",125,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343014,"CEPost","none","blah",1,"write",NA,"[0,3]","false","false",NA,NA,NA,NA,NA,NA,"kuka soli rae","kuka solsil moy","false","center-embedding","head initial","kuka tultol vinkin solsil rae moy","kuka solsil rae","ksm","ksr",0.666666666666667,"N","A","ktvs"
"126",126,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343022,"CEPost","none","blah",1,"write",NA,"[0,1]","true","false",NA,NA,NA,NA,NA,NA,"kuka tabul rae","kuka tultol moy","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","kuka tultol rae","ktm","ktr",0.666666666666667,"N","A","ktvs"
"127",127,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343028,"CEPost","none","blah",1,"write",NA,"[1,1]","false","false",NA,NA,NA,NA,NA,NA,"tabuli tabuli rae","tultol tultol moy","false","center-embedding","head initial","kuka tultol vinkin solsil rae moy","X X rae","ttm","XXr",0,"N","A","ktvs"
"128",128,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343034,"CEPost","none","blah",1,"write",NA,"[2,0]","true","false",NA,NA,NA,NA,NA,NA,"vulti kuka rae","vinkin kuka moy","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","tultol kuka rae","vkm","tkr",0.333333333333333,"N","A","ktvs"
"129",129,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343040,"CEPost","none","blah",1,"write",NA,"[3,1]","true","false",NA,NA,NA,NA,NA,NA,"soilti tabuli rae","solsil tultol moy","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil X rae","stm","sXr",0.333333333333333,"N","A","ktvs"
"130",130,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343048,"CEPost","none","blah",1,"write",NA,"[3,0]","false","false",NA,NA,NA,NA,NA,NA,"solti kakua rae","solsil kuka moy","false","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil kuka rae","skm","skr",0.666666666666667,"N","A","ktvs"
"131",131,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343051,"CEPost","none","blah",1,"write",NA,"[2,2]","true","false",NA,NA,NA,NA,NA,NA,"volti volti rae","vinkin vinkin moy","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil solsil rae","vvm","ssr",0,"N","A","ktvs"
"132",132,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343060,"CEPost","none","blah",1,"write",NA,"[1,[1]]","true","false",NA,NA,NA,NA,NA,NA,"tobli tobli mor","tultol tultol rae","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil solsil moy","ttr","ssm",0,"N","A","ktvs"
"133",133,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343063,"CEPost","none","blah",1,"write",NA,"[2,[2]]","true","false",NA,NA,NA,NA,NA,NA,"venti venti mor","vinkin vinkin rae","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","vinkin vinkin moy","vvr","vvm",0.666666666666667,"N","A","ktvs"
"134",134,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343070,"CEPost","none","blah",1,"write",NA,"[1,[3]]","true","false",NA,NA,NA,NA,NA,NA,"solti tabli mor","tultol solsil rae","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil X moy","tsr","sXm",0,"N","A","ktvs"
"135",135,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343077,"CEPost","none","blah",1,"write",NA,"[0,0]","false","false",NA,NA,NA,NA,NA,NA,"kuka kuka rae","kuka kuka moy","false","center-embedding","head initial","kuka tultol vinkin solsil rae moy","kuka kuka rae","kkm","kkr",0.666666666666667,"N","A","ktvs"
"136",136,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343086,"CEPost","none","blah",1,"write",NA,"[0,[2]]","true","false",NA,NA,NA,NA,NA,NA,"volti kuka mar","kuka vinkin rae","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil kuka rae","kvr","skr",0.333333333333333,"N","A","ktvs"
"137",137,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343096,"CEPost","none","blah",2,"write",NA,"[2,[[2,0]]]","false","false",NA,NA,NA,NA,NA,NA,"volti kuka volti rae mar","vinkin vinkin kuka moy rae","false","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil kuka solsil rae rae","vvkmr","sksrr",0.2,"N","A","ktvs"
"138",138,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343110,"CEPost","none","blah",2,"write",NA,"[0,[[1,[0]]]]","true","false",NA,NA,NA,NA,NA,NA,"kuka tobli kuka mor mor","kuka tultol kuka rae rae","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","kuka solsil kuka moy moy","ktkrr","kskmm",0.4,"N","A","ktvs"
"139",139,"A2","32K26U12DNVMOFHDAJDFIM8WMG0VD0","3J2UYBXQQMJ9XPZBN1MEF741WRV607",1581343118,"CEPost","none","blah",2,"write",NA,"[1,[[3,0]]]","true","false",NA,NA,NA,NA,NA,NA,"solti kuka tobli rae mor","tultol solsil kuka moy rae","true","center-embedding","head initial","kuka tultol vinkin solsil rae moy","solsil kuka solsil rae moy","tskmr","sksrm",0.4,"N","A","ktvs"
