,Unnamed: 0,X,workerId,hitId,assignmentId,time,condition,chain,generation,level,trialType,nameTraining,arrayTraining,seenInTraining,inAmbig,choiceArray0,choiceArray1,choiceArray2,choiceArray3,correctChoiceNumber,participantChoiceNumber,participantText,compositionalAnswer,seenInTesting,conditionCE,conditionHeadN,correctLexicon,correctedAnswers,encodingCompositional,encodingCorrected,normedCorrectness,prepHorizGloss,prepVertGloss,consonants,Grammar_HInitial-noCE-Left-Atop,Grammar_HInitial-noCE-Left-Under,Grammar_HInitial-noCE-Right-Atop,Grammar_HInitial-noCE-Right-Under,Grammar_HFinal-noCE-Left-Atop,Grammar_HFinal-noCE-Left-Under,Grammar_HFinal-noCE-Right-Atop,Grammar_HFinal-noCE-Right-Under,Grammar_HInitial-CE-Left-Atop,Grammar_HInitial-CE-Left-Under,Grammar_HInitial-CE-Right-Atop,Grammar_HInitial-CE-Right-Under,Grammar_HFinal-CE-Left-Atop,Grammar_HFinal-CE-Left-Under,Grammar_HFinal-CE-Right-Atop,Grammar_HFinal-CE-Right-Under,Grammar_HInitial-Crossed-PreP-Left-Atop,Grammar_HInitial-Crossed-PreP-Left-Under,Grammar_HInitial-Crossed-PreP-Right-Atop,Grammar_HInitial-Crossed-PreP-Right-Under,Grammar_HInitial-Crossed-PostP-Left-Atop,Grammar_HInitial-Crossed-PostP-Left-Under,Grammar_HInitial-Crossed-PostP-Right-Atop,Grammar_HInitial-Crossed-PostP-Right-Under,Grammar_HFinal-Crossed-PreP-Left-Atop,Grammar_HFinal-Crossed-PreP-Left-Under,Grammar_HFinal-Crossed-PreP-Right-Atop,Grammar_HFinal-Crossed-PreP-Right-Under,Grammar_HFinal-Crossed-PostP-Left-Atop,Grammar_HFinal-Crossed-PostP-Left-Under,Grammar_HFinal-Crossed-PostP-Right-Atop,Grammar_HFinal-Crossed-PostP-Right-Under
0,41,41,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505369,PostNomPrePos,none,blah,0,write,,0,True,False,,,,,,,sisu,sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu,s,s,1.0,X,X,svkt,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
1,42,42,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505382,PostNomPrePos,none,blah,0,write,,1,True,False,,,,,,,vinvi,vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi,v,v,1.0,X,X,svkt,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
2,43,43,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505397,PostNomPrePos,none,blah,0,write,,2,True,False,,,,,,,konka,konkan,True,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan,k,k,1.0,X,X,svkt,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
3,44,44,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505421,PostNomPrePos,none,blah,0,write,,3,True,False,,,,,,,tulsul,tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul,t,t,1.0,X,X,svkt,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
4,45,45,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505446,PostNomPrePos,none,blah,1,write,,"[1,[0]]",True,False,,,,,,,vinvi rae sisu,vinvi rae sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi rae sisu,vrs,vrs,1.0,X,X,svkt,vrs,srv,vrs,srv,srv,vrs,srv,vrs,vsr,svr,vsr,svr,rsv,rvs,rsv,rvs,rvs,rsv,rvs,rsv,vsr,svr,vsr,svr,rsv,rvs,rsv,rvs,svr,vsr,svr,vsr
5,46,46,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505471,PostNomPrePos,none,blah,1,write,,"[1,[3]]",True,False,,,,,,,vinvi rae tulsul,vinvi rae tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi rae tulsul,vrt,vrt,1.0,X,X,svkt,vrt,trv,vrt,trv,trv,vrt,trv,vrt,vtr,tvr,vtr,tvr,rtv,rvt,rtv,rvt,rvt,rtv,rvt,rtv,vtr,tvr,vtr,tvr,rtv,rvt,rtv,rvt,tvr,vtr,tvr,vtr
6,47,47,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505569,PostNomPrePos,none,blah,1,write,,"[2,[2]]",False,False,,,,,,,konkan rae konkan,konkan rae konkan,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan rae konkan,krk,krk,1.0,X,X,svkt,krk,krk,krk,krk,krk,krk,krk,krk,kkr,kkr,kkr,kkr,rkk,rkk,rkk,rkk,rkk,rkk,rkk,rkk,kkr,kkr,kkr,kkr,rkk,rkk,rkk,rkk,kkr,kkr,kkr,kkr
7,48,48,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505619,PostNomPrePos,none,blah,1,write,,"[2,[3]]",False,False,,,,,,,konkan rae tulsul,konkan rae tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan rae tulsul,krt,krt,1.0,X,X,svkt,krt,trk,krt,trk,trk,krt,trk,krt,ktr,tkr,ktr,tkr,rtk,rkt,rtk,rkt,rkt,rtk,rkt,rtk,ktr,tkr,ktr,tkr,rtk,rkt,rtk,rkt,tkr,ktr,tkr,ktr
8,49,49,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505638,PostNomPrePos,none,blah,1,write,,"[3,0]",True,False,,,,,,,tulsul moy sisu,tulsul moy sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul moy sisu,tms,tms,1.0,X,X,svkt,tms,tms,smt,smt,smt,smt,tms,tms,tsm,tsm,stm,stm,mst,mst,mts,mts,mts,mts,mst,mst,tsm,tsm,stm,stm,mst,mst,mts,mts,stm,stm,tsm,tsm
9,50,50,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505662,PostNomPrePos,none,blah,1,write,,"[0,1]",True,False,,,,,,,sisu moy vinvi,sisu moy vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu moy vinvi,smv,smv,1.0,X,X,svkt,smv,smv,vms,vms,vms,vms,smv,smv,svm,svm,vsm,vsm,mvs,mvs,msv,msv,msv,msv,mvs,mvs,svm,svm,vsm,vsm,mvs,mvs,msv,msv,vsm,vsm,svm,svm
